Afornecedo,Designação Fatura,Conta,Nome da co,Doc  nome ,N  contrib,Doc  inici,Doc  nome1,Elegível?
"ENVICORTE - INDÚSTRIA TEXTIL, LDA",Bordadores,621713.0,Sub Bord MN Tx Normal,V/ Factura,505364182,PT,Compras,0
JAFPLUS LDA,Electricidade - Iva Dedutivel ou Isento,624111.0,Eletricidade MN Tx Reduzida,V/ Factura S,513497706,PT,Compras OBS,0
BELA PRENDA LDA,Material de Escritório - Iva Dedutivel,6231113.0,Ferra e Utens MN Tx Normal,V/ Vd. Dinheiro,510915337,PT,Caixa,0
"JORACARSIL-INDUSTRIA DE PASSAMANARIAS, LDA.",CORDÃO REDONDO 100%CO - REF. M16/8F,312113.0,MP MN Tx Normal,V/ Factura,501836403,PT,Compras,0
Fornecedor Compras a Dinheiro MN,Comunicação Correios -  Iva Dedutivel,6262314.0,Correio MN Isento,V/ Vd. Dinheiro,500077568,PT,Caixa,0
"ADB - AGUAS DE BARCELOS, SA.",Agua - Iva Dedutivel,624311.0,Água MN Tx Reduzida,V/ Factura S,506911314,PT,Compras OBS,0
"ADB - AGUAS DE BARCELOS, SA.",Agua - Iva Dedutivel,624311.0,Água MN Tx Reduzida,V/ Factura S,506911314,PT,Compras OBS,0
"ADB - AGUAS DE BARCELOS, SA.",Agua - Iva Dedutivel,624311.0,Água MN Tx Reduzida,V/ Factura S,506911314,PT,Compras OBS,0
"ADB - AGUAS DE BARCELOS, SA.",Agua - Iva Dedutivel,624311.0,Água MN Tx Reduzida,V/ Factura S,506911314,PT,Compras OBS,0
"ADB - AGUAS DE BARCELOS, SA.",Agua - Iva Dedutivel,624311.0,Água MN Tx Reduzida,V/ Factura S,506911314,PT,Compras OBS,0
"ADB - AGUAS DE BARCELOS, SA.",Agua - Iva Dedutivel,624311.0,Água MN Tx Reduzida,V/ Factura S,506911314,PT,Compras OBS,0
FRAMIS ITALIA SPA,FITA TERMOCOLADA PANAREA 7219 10MM,3128223.0,Cust Adic MP MC Tx Normal,V/ Factura,11470670156,Outros,Compras,0
"ADB - AGUAS DE BARCELOS, SA.",Agua - Iva Dedutivel,624311.0,Água MN Tx Reduzida,V/ Factura S,506911314,PT,Compras OBS,0
"REALFIO-TEXTEIS, LDA.",Matérias Primas,312113.0,MP MN Tx Normal,V/ Factura,501131477,PT,Compras,0
"ADB - AGUAS DE BARCELOS, SA.",Agua - Iva Dedutivel,624311.0,Água MN Tx Reduzida,V/ Factura S,506911314,PT,Compras OBS,0
JAFPLUS LDA,Electricidade - Iva Dedutivel ou Isento,624113.0,Eletricidade MN Tx Normal,V/ Factura S,513497706,PT,Compras OBS,0
"ENVICORTE - INDÚSTRIA TEXTIL, LDA",Bordadores,621513.0,Sub Estamp MN Tx Normal,V/ Factura,505364182,PT,Compras,0
ANBIEVOLUTION INTERNATIONAL LDA.,FELPA AMERICANA 95%CO ORG 5%EL REF. MAFA1370,312113.0,MP MN Tx Normal,V/ Factura,514803029,PT,Compras,0
"TEXTEIS MIRANDA COUTO, LDA.",Confecções,621213.0,Sub Confecção - MN Tx Normal,V/ Factura,505549700,PT,Compras,0
"ADB - AGUAS DE BARCELOS, SA.",Agua - Iva Dedutivel,624311.0,Água MN Tx Reduzida,V/ Factura S,506911314,PT,Compras OBS,0
"ADB - AGUAS DE BARCELOS, SA.",Agua - Iva Dedutivel,624311.0,Água MN Tx Reduzida,V/ Factura S,506911314,PT,Compras OBS,0
"ADB - AGUAS DE BARCELOS, SA.",Agua - Iva Dedutivel,624311.0,Água MN Tx Reduzida,V/ Factura S,506911314,PT,Compras OBS,0
FRAMIS ITALIA SPA,FITA TERMOCOLADA PANAREA 7219 10MM,312123.0,MP MC Tx Normal,V/ Factura,11470670156,Outros,Compras,0
FREUDENBERG ESPAÑA S.A.,ENTRETELA RCY 9913 FREUDENBERG,312123.0,MP MC Tx Normal,V/ Factura,D39002316,Outros,Compras,0
"ÉRIUS - TEXTEIS, SA.",Renda de Imóvel,6261113.0,Renda Edificio MN-Tx Normal,V/ Factura S,509577547,PT,Compras OBS,0
"IMOFUNDOS - Soc. Gest. de Org. de Invest. Colectivo, SA",Renda de Imóvel,6261114.0,Renda Edificio MN-Isenta,V/ Factura S,720000130,PT,Compras OBS,0
VISIONWARE SISTEMAS DE INFORMAÇÃO SA,Serviços de Consultoria,6221213.0,Consultoria MN Tx Normal,V/ Factura S,507411072,PT,Compras OBS,0
Fornecedor Compras a Dinheiro MN,Comunicação Correios -  Iva Dedutivel,6262314.0,Correio MN Isento,V/ Vd. Dinheiro,500077568,PT,Caixa,0
"IDEPA-INDUSTRIA DE PASSAMANARIAS, LDA.",ETIQ.COMP.ESTAMP. AUX. XI COS98121,3128213.0,Cust Adic MP MN Tx Normal,V/ Factura,507165608,PT,Compras,0
"ADB - AGUAS DE BARCELOS, SA.",Agua - Iva Dedutivel,624311.0,Água MN Tx Reduzida,V/ Factura S,506911314,PT,Compras OBS,0
ESCAPES BARCELINHOS COMERCIO E MONTAGEM DE ESCAPES LDA,Conservação e Reparação - Iva não ded. Viaturas Passageiros,62264215.0,Cons Veic. Lig Passageiros MN Não Ded Tx Normal,V/ Factura S,504376160,PT,Compras OBS,1
"FERVI, IMPORTAÇÃO E EXPORTAÇÃO, S.A.",CERTIFICAÇÕES GOTS,626821113.0,Certificações/Auditoria MN Tx Normal,V/ Factura,501731440,PT,Compras,0
"BENJAMIM ARAÚJO, LDA",Conservação e Reparação - Iva não ded. Viaturas Passageiros,62264215.0,Cons Veic. Lig Passageiros MN Não Ded Tx Normal,V/ Factura S,502154250,PT,Compras OBS,1
"EDENRED PORTUGAL, S.A.",Comissoes La Card - IVA ded.,62271310.0,Cartão Refeição - MN Tx Normal,V/ Factura S,501465804,PT,Compras OBS,0
"IDEPA-INDUSTRIA DE PASSAMANARIAS, LDA.",ETIQ.CARTÃO COS68502+68533 100%CO ORG US/CA/MX,3128213.0,Cust Adic MP MN Tx Normal,V/ Factura,507165608,PT,Compras,0
SINZA BRANDING - JOSE PAULO FONSECA DE AZEVEDO MONTEIRO,Artigos para oferta - iva n/ ded.,623415.0,Art Oferta MN Não Ded Tx Normal,V/ Factura S,182784215,PT,Compras OBS,0
"MEO - SERVIÇOS DE COMUNICAÇOES E MULTIMEDIA, SA.",Comunicação Telefone -  Iva Dedutivel,6262213.0,Internet MN Tx Normal,V/ Factura S,504615947,PT,Compras OBS,0
DISTRIDEMA UNIPESSOAL LDA - PREÇO LOUCO,Materiais para produção,6231413.0,Mat Produção MN TX Normal,V/ Vd. Dinheiro,515743372,PT,Caixa,0
"6 DIAS -TEXTEIS INTERNACIONAIS, LDA.",TECIDO 100%CO - 1.45MT - REF. PPO996,312113.0,MP MN Tx Normal,V/ Factura,507832469,PT,Compras,0
"YKK PORTUGAL - ACESSÓRIOS PARA VESTUÁRIO, LDA.","FECHO DE METAL PRATEADO NATULON N.5, FITA PES RECICLADA, C/",312213.0,MS MN Tx Normal,V/ Factura,501205012,PT,Compras,0
ESCAPES BARCELINHOS COMERCIO E MONTAGEM DE ESCAPES LDA,Conservação e Reparação - Iva não ded. Viaturas Passageiros,62264216.0,Cons Veic. Lig Passageiros MN Base Não Ded,V/ Factura S,504376160,PT,Compras OBS,1
"BENJAMIM ARAÚJO, LDA",Conservação e Reparação - Iva não ded. Viaturas Passageiros,62264216.0,Cons Veic. Lig Passageiros MN Base Não Ded,V/ Factura S,502154250,PT,Compras OBS,1
"MEO - SERVIÇOS DE COMUNICAÇOES E MULTIMEDIA, SA.",Comunicação Telefone -  Iva Dedutivel,6262213.0,Internet MN Tx Normal,V/ Factura S,504615947,PT,Compras OBS,0
SINZA BRANDING - JOSE PAULO FONSECA DE AZEVEDO MONTEIRO,Artigos para oferta - iva n/ ded.,623416.0,Art Oferta MN Não Ded Base,V/ Factura S,182784215,PT,Compras OBS,0
ESTILO EXCLUSIVO UNIPESSOAL LDA,T-SHIRT SENHORA 100%CO,621613.0,Sub Embal MN Tx Normal,V/ Factura,516075616,PT,Compras,0
J P Z CARTONAGEM S A,CAIXA CARTAO CAN. DUPLO 60*40*40,312313.0,Embalagens MN Tx Normal,V/ Factura,504132091,PT,Compras,0
"IDEPA-INDUSTRIA DE PASSAMANARIAS, LDA.",ETIQ.COMP.ESTAMP. AUX. XI COS98121,312213.0,MS MN Tx Normal,V/ Factura,507165608,PT,Compras,0
"IDEPA-INDUSTRIA DE PASSAMANARIAS, LDA.",ETIQ.CARTÃO COS68502+68533 100%CO ORG US/CA/MX,312213.0,MS MN Tx Normal,V/ Factura,507165608,PT,Compras,0
"JUNIUS - TÊXTEIS - UNIPESSOAL, LDA",AMOSTRAS,621213.0,Sub Confecção - MN Tx Normal,V/ Factura,506206076,PT,Compras,0
"IDEPA-INDUSTRIA DE PASSAMANARIAS, LDA.",ETIQ.CARTÃO COS68502+68591+68553 100%CO ORG UNDYED ASIA,3128213.0,Cust Adic MP MN Tx Normal,V/ Factura,507165608,PT,Compras,0
"FAMILITEX - TECELAGEM, LDA",TECIDO 100%CO ORGANICO REFª 308 S/ACAB. EMPAPELADO,621413.0,Sub Ting MN Tx Normal,V/ Factura,504389637,PT,Compras,0
"REALFIO-TEXTEIS, LDA.",Matérias Primas,312113.0,MP MN Tx Normal,V/ Factura,501131477,PT,Compras,0
"TINTEX-TINTURARIA TEXTIL DE CERVEIRA, S. A.",JERSEY 91%CO BCI 9%EL 185GR,312113.0,MP MN Tx Normal,V/ Factura,504016148,PT,Compras,0
"JSB - OLIVEIRA & OLIVEIRA, LDA",ESTAMP AMOSTRAS,621513.0,Sub Estamp MN Tx Normal,V/ Factura,506850315,PT,Compras,0
"JUNIUS - TÊXTEIS - UNIPESSOAL, LDA",SO APLICAR TRANSFER,621513.0,Sub Estamp MN Tx Normal,V/ Factura,506206076,PT,Compras,0
"ANTÓNIO BARROSO MALHAS, LDA",PELUCHE TURCO 62%COO 38%WO ORG,621413.0,Sub Ting MN Tx Normal,V/ Factura,501215522,PT,Compras,0
"TINTEX-TINTURARIA TEXTIL DE CERVEIRA, S. A.",JERSEY 95%CLY 5%EL 165GR,621413.0,Sub Ting MN Tx Normal,V/ Factura,504016148,PT,Compras,0
"BORDADOS JOAQUIM O. & OLIVEIRA, LDA.","BOR ""ICICLE"" ROLINHO",621713.0,Sub Bord MN Tx Normal,V/ Factura,502516305,PT,Compras,0
"VILARTEX - EMPRESA DE MALHAS VILARINHO,LDA",GOLA RECTA 98%CO ORG. 2%EL,312113.0,MP MN Tx Normal,V/ Factura,500751676,PT,Compras,0
"CLOTHIUS - TECELAGEM, SA",TSHIRT SENHORA 100%CO ORG GOTS,621313.0,Sub Lav MN Tx Normal,V/ Factura,510800599,PT,Compras,0
"CLOTHIUS - TECELAGEM, SA",AMOSTRAS,621313.0,Sub Lav MN Tx Normal,V/ Factura,510800599,PT,Compras,0
"ANTÓNIO BARROSO MALHAS, LDA",FELPA AMERICANA 100%CO FIO 30/1 JASPÉ + 6/1 ARGOLA - 320 GRS,621413.0,Sub Ting MN Tx Normal,V/ Factura,501215522,PT,Compras,0
"ABREU - CARGA E TRANSITO,LDA",Transportes,6253114.0,Transp Mercad Normal MN Tx Isento,V/ Factura S,503142263,PT,Compras OBS,1
BARCELBORDADOS-GAB. TECNICO DE FILMES E BORDADOS,"BORDADO LOGO ""A"" 2 CM - ARMEDANGLES",621713.0,Sub Bord MN Tx Normal,V/ Factura,504262122,PT,Compras,0
TERTULIA POSITIVA - LDA,TSHIRT SENHORA 100%CO ORG OCS,621613.0,Sub Embal MN Tx Normal,V/ Factura,514702923,PT,Compras,0
"BARCELTINGE - TINTURARIA, LDA.",JERSEY 100%CO ORG 160GRS,621413.0,Sub Ting MN Tx Normal,V/ Factura,514824603,PT,Compras,0
"ÉRIUS - TEXTEIS, SA.","ESTAMPADO ""CLOUD"" ARMEDANGELS",621513.0,Sub Estamp MN Tx Normal,V/ Factura,509577547,PT,Compras,0
"IDEPA-INDUSTRIA DE PASSAMANARIAS, LDA.",ETIQ.CARTÃO COS68502+68591+68553 100%CO ORG UNDYED ASIA,312213.0,MS MN Tx Normal,V/ Factura,507165608,PT,Compras,0
"FAMILITEX - TECELAGEM, LDA",PIQUET 98%COO 2%EA 182GRS - FML068,312113.0,MP MN Tx Normal,V/ Factura,504389637,PT,Compras,0
VGFASTER UNIPESSOAL LDA,TSHIRT SENHORA 100%CO ORG GOTS,621113.0,Sub Corte -MN Tx Normal,V/ Factura,514768312,PT,Compras,0
"ALIVANA-TÊXTEIS, LDA",POLO HOMEM 100%CO ORG GOTS,621613.0,Sub Embal MN Tx Normal,V/ Factura,507738390,PT,Compras,0
"M. SOUSA & RODRIGUES, LDA.",TECIDO 100%ALGODAO BCI REF.202,312113.0,MP MN Tx Normal,V/ Factura,500173664,PT,Compras,0
"EDITE SOUSA UNIPESSOAL, LDA",FITA SILICONE 6MM TRANSPARENTE,312113.0,MP MN Tx Normal,V/ Factura,507612825,PT,Compras,0
FANCYPEOPLE - UNIPESSOAL LDA,SINGLETE SENHORA 97%CV ECO VERO 3%EA,621213.0,Sub Confecção - MN Tx Normal,V/ Factura,515776807,PT,Compras,0
"CLOTHIUS - TECELAGEM, SA",JERSEY 100%CO REF. AJAW18006,312113.0,MP MN Tx Normal,V/ Factura,510800599,PT,Compras,0
"ANTÓNIO BARROSO MALHAS, LDA","FELPA AMERICANA 100%CO ORG 310GRS JOGO 22"" 30 - C/ CARDA INT",621413.0,Sub Ting MN Tx Normal,V/ Factura,501215522,PT,Compras,0
"RIO MAU - CONFECÇÕES, LDA.",VESTIDO SENHORA 100%CO ORGANICO,621213.0,Sub Confecção - MN Tx Normal,V/ Factura,504491210,PT,Compras,0
"CLOTHIUS - TECELAGEM, SA",RIB SELEÇÃO 98%CO ORG 2%EA REC. 190GRS,312113.0,MP MN Tx Normal,V/ Factura,510800599,PT,Compras,0
"RISCAS E ALFINETES - UNIPESSOAL, LDA",TSHIRT SENHORA 100%CO ORG OCS,621213.0,Sub Confecção - MN Tx Normal,V/ Factura,514688483,PT,Compras,0
"ALIVANA-TÊXTEIS, LDA",CALÇA SENHORA 73%PA REC 27%EL,621213.0,Sub Confecção - MN Tx Normal,V/ Factura,507738390,PT,Compras,0
FANCYPEOPLE - UNIPESSOAL LDA,TSHIRT SENHORA 100%CO ORG OCS,621213.0,Sub Confecção - MN Tx Normal,V/ Factura,515776807,PT,Compras,0
"ANTÓNIO BARROSO MALHAS, LDA",FELPA DIAGONAL 50%CO ORG. 50%CO REC. 320GRS C/ ESMERIL,621413.0,Sub Ting MN Tx Normal,V/ Factura,501215522,PT,Compras,0
"CLOTHIUS - TECELAGEM, SA",JERSEY 97%CO 3%EL 160 GRS,312113.0,MP MN Tx Normal,V/ Factura,510800599,PT,Compras,0
"CLOTHIUS - TECELAGEM, SA",JERSEY 50%CO ORG 50%CO REC. 230GRS,312113.0,MP MN Tx Normal,V/ Factura,510800599,PT,Compras,0
"CLOTHIUS - TECELAGEM, SA",JERSEY 100%CO ORGANICO 140GR,317213.0,Dev MP MN Tx Normal,V/ Nota de Crédito,510800599,PT,Compras,0
"CONFEÇOES LINHA LONGA, LDA",Confecções,621213.0,Sub Confecção - MN Tx Normal,V/ Nota de Crédito,513003495,PT,Compras,0
"PARAISO BONDOSO, TÊXTIL LDA",Confecções,621213.0,Sub Confecção - MN Tx Normal,V/ Nota de Crédito,517152738,PT,Compras,0
"ANTONIO PINHEIRO DIAS CURVAO, LDA.",Gasoleo Ligeiro Passageiros,62421215.0,Gasóleo L Pass MN Não Ded Tx Normal 50%,V/ Factura S,503883387,PT,Compras OBS,0
"IDEPA-INDUSTRIA DE PASSAMANARIAS, LDA.",Custos adicionais c/ compras,3128213.0,Cust Adic MP MN Tx Normal,V/ Factura,507165608,PT,Compras,0
"ANTONIO PINHEIRO DIAS CURVAO, LDA.",Gasoleo Ligeiro Passageiros,62421115.0,Gasóleo L Merc MN Não Ded Tx Normal 50%,V/ Factura S,503883387,PT,Compras OBS,0
"IDEPA-INDUSTRIA DE PASSAMANARIAS, LDA.",Custos adicionais c/ compras,3128213.0,Cust Adic MP MN Tx Normal,V/ Factura,507165608,PT,Compras,0
"VODAFONE PORTUGAL, SA.",Comunicação Telefone -  Iva Dedutivel,6262113.0,Telefone MN - Tx Normal,V/ Vd. Dinheiro,502544180,PT,Caixa,0
"ANTONIO PINHEIRO DIAS CURVAO, LDA.",Gasoleo Ligeiro Passageiros,62421213.0,Gasóleo L Pass MN Base,V/ Factura S,503883387,PT,Compras OBS,0
"REALFIO-TEXTEIS, LDA.",Matérias Primas,312113.0,MP MN Tx Normal,V/ Factura,501131477,PT,Compras,0
"ANTONIO PINHEIRO DIAS CURVAO, LDA.",Gasoleo Ligeiro Passageiros,62421115.0,Gasóleo L Merc MN Não Ded Tx Normal 50%,V/ Factura S,503883387,PT,Compras OBS,0
Fornecedor Compras a Dinheiro MN,Ferramentas e utensílios - Iva ded.,6231113.0,Ferra e Utens MN Tx Normal,V/ Vd. Dinheiro,515805238,PT,Caixa,0
"REALFIO-TEXTEIS, LDA.",Matérias Primas,312113.0,MP MN Tx Normal,V/ Factura,501131477,PT,Compras,0
Fornecedor Compras a Dinheiro MN,Comunicação Correios -  Iva Dedutivel,6262314.0,Correio MN Isento,V/ Vd. Dinheiro,500077568,PT,Caixa,0
"DHL EXPRESS PORTUGAL, LDA.",Custos adicionais c/ compras,3128214.0,Cust Adic MP MN Isento,V/ Factura S,500731993,PT,Compras OBS,0
"PLASRIO - SOCIEDADE DE PLASTICOS, LDA.",Saco Liso,312313.0,Embalagens MN Tx Normal,V/ Factura S,506558797,PT,Compras OBS,0
"ANTONIO PINHEIRO DIAS CURVAO, LDA.",Gasoleo Ligeiro Passageiros,62421113.0,Gasóleo L Merc MN Base,V/ Factura S,503883387,PT,Compras OBS,0
"ANTONIO PINHEIRO DIAS CURVAO, LDA.",Gasoleo Ligeiro Passageiros,62421113.0,Gasóleo L Merc MN Base,V/ Factura S,503883387,PT,Compras OBS,0
PT STORE - PEDRO TIAGO STORE UNIPESSOAL LDA,Material Informático - Iva Dedutivel,6233213.0,Eq. Inf./ Software MN - Taxa Normal,V/ Factura S,516458124,PT,Compras OBS,0
"IDEPA-INDUSTRIA DE PASSAMANARIAS, LDA.",Custos adicionais c/ compras,312213.0,MS MN Tx Normal,V/ Factura,507165608,PT,Compras,0
"PRIMEFIL - UNIPESSOAL, LDA",LINHA ELOFLEX 120T27,312113.0,MP MN Tx Normal,V/ Factura,509144225,PT,Compras,0
"DHL EXPRESS PORTUGAL, LDA.",Custos adicionais c/ compras,3128214.0,Cust Adic MP MN Isento,V/ Factura S,500731993,PT,Compras OBS,0
"CROBEL INDUSTRIA DE ETIQUETAS, LDA.",Matérias de Embalagens,312313.0,Embalagens MN Tx Normal,V/ Factura S,505197839,PT,Compras OBS,0
BORMAN PORTUGUESA QUIMICOS E SISTEMAS HIGIENE LDA,"Limpeza, Higiene e Conforto - Iva Dedutivel",626713.0,"Limpeza, hig, conforto MN Tx Normal",V/ Factura S,502453478,PT,Compras OBS,0
FREUDENBERG ESPAÑA S.A.,ENTRETELA 100%PES REF. SE 6913 C FREUDENBERG,312223.0,MS MC Tx Normal,V/ Factura,D39002316,Outros,Compras,0
"REALFIO-TEXTEIS, LDA.",LINHA ECO PENVIAN 120 (RECICLADA) 5000MTS,312113.0,MP MN Tx Normal,V/ Factura,501131477,PT,Compras,0
"IDEPA-INDUSTRIA DE PASSAMANARIAS, LDA.",Custos adicionais c/ compras,312213.0,MS MN Tx Normal,V/ Factura,507165608,PT,Compras,0
M. J. VENDEIRO S.A.,Gasóleo Cisterna,62421315.0,Gasóleo Cisterna MN Não Ded Tx Normal 50%,V/ Factura S,502964014,PT,Compras OBS,0
FERSIL CONSTRUCAO CIVIL E COMPRA E VENDA PROPRIEDADES L,Rendas e alugueres - Fração N Rua do Arranjinho nº121,6261114.0,Renda Edificio MN-Isenta,V/ Factura S,501583734,PT,Compras OBS,0
"CONTROL UNION PORTUGAL, LDA",CERTIFICAÇÕES GOTS,626821113.0,Certificações/Auditoria MN Tx Normal,V/ Factura S,502479698,PT,Compras OBS,0
M. J. VENDEIRO S.A.,Gasóleo Cisterna,62421313.0,Gasóleo Cisterna MN Base,V/ Factura S,502964014,PT,Compras OBS,0
Restaurante Sao Cristovao - Manuel M. Lopes,Deslocações e estadas - Iva não ded. - refeições,6251215.0,Restauração MN Não Ded Tx Normal,V/ Vd. Dinheiro,158562194,PT,Caixa,0
Restaurante Sao Cristovao - Manuel M. Lopes,Deslocações e estadas - Iva não ded. - refeições,6251219.0,Restauração MN Não Ded Tx Intermédia,V/ Vd. Dinheiro,158562194,PT,Caixa,0
PAPELARIA EXPRESSO - PAULO ALEXANDRE M. S. CARVALHO,"Limpeza, Higiene e Conforto - Iva Dedutivel",6233113.0,Mat. Escrit. MN - Tx Normal,V/ Factura S,188796452,PT,Compras OBS,0
"IDEPA-INDUSTRIA DE PASSAMANARIAS, LDA.",Custos adicionais c/ compras,3128213.0,Cust Adic MP MN Tx Normal,V/ Factura,507165608,PT,Compras,0
"FONTE VIVA - JET COOLER - AGUAS E CAFÉS, SA.",Renda Dispensador da Água,626120513.0,Loc Op - Disp Agua MN Tx Normal,V/ Factura S,502127856,PT,Compras OBS,0
"REALFIO-TEXTEIS, LDA.",Matérias Primas,312113.0,MP MN Tx Normal,V/ Factura,501131477,PT,Compras,0
"NILORN PORTUGAL - INDUSTRIA ETIQUETAS, LDA.",HANGTAG ARMEDANGELS - LA-HT-50,3128213.0,Cust Adic MP MN Tx Normal,V/ Factura,502249196,PT,Compras,0
Restaurante Sao Cristovao - Manuel M. Lopes,Deslocações e estadas - Iva não ded. - refeições,6251216.0,Restauração MN Não Ded Base,V/ Vd. Dinheiro,158562194,PT,Caixa,0
"FONTE VIVA - JET COOLER - AGUAS E CAFÉS, SA.",Renda Dispensador da Água,626120513.0,Loc Op - Disp Agua MN Tx Normal,V/ Factura S,502127856,PT,Compras OBS,0
"FONTE VIVA - JET COOLER - AGUAS E CAFÉS, SA.",Renda Dispensador da Água,626120513.0,Loc Op - Disp Agua MN Tx Normal,V/ Factura S,502127856,PT,Compras OBS,0
"TRANSPORTES DE MERCADORIA ANTONIO CORREIA, LDA.",Transportes,6253114.0,Transp Mercad Normal MN Tx Isento,V/ Factura S,502990651,PT,Compras OBS,1
"NASTROTEX - INDUSTRIA DE PASSAMANARIAS, LDA",FITA NASTRO 100% CO ORGANICO,312113.0,MP MN Tx Normal,V/ Factura,505034948,PT,Compras,0
Fornecedor Compras a Dinheiro MN,Comunicação Correios -  Iva Dedutivel,6262314.0,Correio MN Isento,V/ Vd. Dinheiro,500077568,PT,Caixa,0
"JUNIUS - TÊXTEIS - UNIPESSOAL, LDA",AMOSTRAS,621213.0,Sub Confecção - MN Tx Normal,V/ Factura,506206076,PT,Compras,0
"FONTE VIVA - JET COOLER - AGUAS E CAFÉS, SA.",Renda Dispensador da Água,626120513.0,Loc Op - Disp Agua MN Tx Normal,V/ Factura S,502127856,PT,Compras OBS,0
"WORTEN EQUPAMENTOS PARA O LAR, S.A.",Ferramentas e utensílios - Iva ded.,6231113.0,Ferra e Utens MN Tx Normal,V/ Vd. Dinheiro,503630330,PT,Caixa,0
"REALFIO-TEXTEIS, LDA.",Matérias Primas,312113.0,MP MN Tx Normal,V/ Factura,501131477,PT,Compras,0
"NOS COMUNICAÇÕES, SA.",Comunicação Internet -  Iva Dedutivel,6262213.0,Internet MN Tx Normal,V/ Factura S,502604751,PT,Compras OBS,0
IBERTEX ETIQUETAJE INDUSTRIAL S.L.U,ETIQUETA AUT. CÓDIGO DE BARRAS COS RT-26,3128223.0,Cust Adic MP MC Tx Normal,V/ Factura,B53413597,Outros,Compras,0
"GRUPOLIS-TRANSITARIOS, LDA.",Transportes,6253113.0,Transp Mercad Normal MN Tx Normal,V/ Factura S,501363599,PT,Compras OBS,1
"NASTROTEX - INDUSTRIA DE PASSAMANARIAS, LDA",ELASTICO 55MM 100%PES MACIO,312113.0,MP MN Tx Normal,V/ Factura,505034948,PT,Compras,0
Trimco Group (Denmark) A/S,ARMEDANGELS POLYBAG - REF: AC-DI-41,312323.0,Embalagens MC Tx Normal,V/ Factura,18435543,Outros,Compras,0
"JUNIUS - TÊXTEIS - UNIPESSOAL, LDA",CALÇA SENHORA 66%PA BIO 34%EL BIO,621113.0,Sub Corte -MN Tx Normal,V/ Factura,506206076,PT,Compras,0
